Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Iraq,2016,11th,104.7,10,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7,6.83,1.9,5.35,6.24,2.088,6.24
Ireland,2016,172nd,22.5,1.8,1.5,1.6,3.6,2.4,2.5,1.2,1.6,1.1,1.9,1.7,1.6,6.91,1,6.22,6.89,1.977,6.89
Israel and West Bank,2016,69th,79.7,7.1,8.1,9.8,4,7,3.5,6.6,5,7.7,5.7,7.5,7.7,7.56,2.42,7.04,7.74,2.297,7.74
Italy,2016,148th,43.1,4.2,4.9,5,5.5,3.1,1.7,3.9,2.3,2.2,2.8,5,2.5,6.96,2.74,5,6.49,0.091,6.49
Jamaica,2016,118th,65.0,6.6,3.7,3.6,7.1,5.6,8.1,5,6.1,5.2,4.9,3.1,6,8.11,0.66,9.1,9.23,0,9.23
Japan,2016,157th,35.1,1.3,2.6,3.9,4.3,1.8,2.9,1.4,1.8,3.2,4.5,3.4,4,8.26,2.56,8.7,8.99,3.442,8.99
Jordan,2016,77th,78.0,5.2,6.9,7.7,6.6,5.6,3.9,6.4,4.4,8,6.7,9.3,7.3,8.33,1.12,8.14,8.87,1.219,8.87
Kazakhstan,2016,113th,66.5,5.4,7.6,7.3,6.6,4.4,3.3,8,4.2,7.4,4.7,3.2,4.4,7.58,1.84,6.78,7.3,3.663,7.3
Kenya,2016,20th,98.3,8.5,8.9,9.1,7.4,8,7.8,7.8,8.2,7.2,9.1,8,8.3,8.37,1.34,8.42,9.03,0,9.03
Kuwait,2016,126th,58.5,4.2,7.5,5.2,2.7,4.4,3.3,7.4,2.8,7.6,5.2,3.7,4.5,7.42,0.74,7.01,7.42,0.429,7.42
Kyrgyz Republic,2016,64th,81.1,6.5,8,8.6,7.2,6.1,6.7,7.9,5.3,7,5.7,5.5,6.6,6.96,0.7,8.05,7.94,1.187,7.94
